Name,Price,Category
CROPPED BUTTON DOWN,"Rs.7,450.00",Women
LINEN SAINT TROPEZ BLOUSE,"Rs.6,450.00",Women
LINEN CULOTTES,"Rs.6,950.00",Women
JUST ANOTHER BRAND OVERSIZED TEE,"Rs.3,450.00",Women
COTTON BODYSUIT,"Rs.3,950.00",Women
BASIC SILK SHIRT,"Rs.6,450.00",Women
STRIPED MUSLIN SHIRT,"Rs.6,950.00",Women
JUST PEACH TUNIC,"Rs.5,950.00",Women
STRIPED TANK TOP,"Rs.3,450.00",Women
ORGANIC MUSLIN SHIRT,"Rs.6,950.00",Women
DENIM SHIRT,"Rs.7,950.00",Men
POLO SHIRT,"Rs.6,950.00",Men
CROCHET SHIRT,"Rs.6,950.00",Men
ADJUSTABLE DENIM TROUSERS,"Rs.9,450.00",Men
CACTUS SILK SHIRT,"Rs.7,450.00",Men
TEXTURED BLAZER,"Rs.17,950.00",Men
GENUINE SUEDE LOAFERS,"Rs.9,950.00",Men
POLO SHIRT,"Rs.6,950.00",Men
TEXTURED POLO,"Rs.6,950.00",Men
VISCOSE KNIT POLO,"Rs.6,950.00",Men
MADRID BUCKLE SLIDES,"Rs.5,450.00",Shoes
LEATHER SNEAKERS,"Rs.9,450.00",Shoes
GREEK SLIPPER SANDAL,"Rs.4,450.00",Shoes
GENUINE NUBUCK LOAFERS,"Rs.9,950.00",Shoes
BILLIE MINI STILETTO,"Rs.7,450.00",Shoes
GENUINE SUEDE LOAFERS,"Rs.9,950.00",Shoes
SOFT BUCKLE PUMPS,"Rs.7,450.00",Shoes
GREEK SLIPPER SANDAL,"Rs.4,450.00",Shoes
SLINGBACK BALLERINAS,"Rs.6,950.00",Shoes
GOLD BUCKLE SLIDES,"Rs.5,950.00",Shoes
WEEKEND TOTE,"Rs.11,450.00",Women Bags
EVERYWEAR SHOULDER BAG,"Rs.9,450.00",Women Bags
BOARDROOM TOTE,"Rs.10,950.00",Women Bags
VARSITY DAY BAG,"Rs.9,450.00",Women Bags
THE LATE BRUNCH BAG,"Rs.10,450.00",Women Bags
VARSITY DAY BAG,"Rs.9,450.00",Women Bags
EVERYWEAR SHOULDER BAG,"Rs.9,450.00",Women Bags
THE LATE BRUNCH BAG,"Rs.10,450.00",Women Bags
BOARDROOM TOTE,"Rs.10,950.00",Women Bags
ALL-DAY SHOULDER BAG,"Rs.11,950.00",Women Bags
2-PACK CREW SOCKS,Rs.950.00,Men Socks
2-PACK CREW SOCKS,Rs.950.00,Men Socks
2-PACK CREW SOCKS,Rs.950.00,Men Socks
COTTON SNEAKER SOCKS,Rs.350.00,Men Socks
COTTON SNEAKER SOCKS,Rs.350.00,Men Socks
COTTON SNEAKER SOCKS,Rs.350.00,Men Socks
CREW LENGTH COTTON SOCKS,Rs.450.00,Men Socks
CREW LENGTH COTTON SOCKS,Rs.450.00,Men Socks
CREW LENGTH COTTON SOCKS,Rs.450.00,Men Socks
CREW LENGTH COTTON SOCKS,Rs.450.00,Men Socks
SANDAL & MUSK,"Rs.7,450.00",Fragrance
PATCHOULI & JASMINE,"Rs.7,450.00",Fragrance
SPICE & LILY,"Rs.7,450.00",Fragrance
BERGAMOT OUD,"Rs.7,450.00",Fragrance
SAGE & VELVET,"Rs.7,450.00",Fragrance
AMALFI ORANGE,"Rs.7,450.00",Fragrance
IRIS + LEATHER,"Rs.7,450.00",Fragrance
BLACK OUD,"Rs.7,450.00",Fragrance
